Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Sorsum, Hildesheim (31139)",499.000 € 3.379 €/m²,5 Zimmer,"147,7 m²",284 m² Grundstück,https://www.immowelt.de/expose/9f156144-7ccf-4214-bb27-d0fc8696251c
"Sorsum, Hildesheim (31139)",649.000 € 4.201 €/m²,5 Zimmer,"154,5 m²",280 m² Grundstück,https://www.immowelt.de/expose/66c37192-6813-4b72-9c99-b312e5515041
"Sorsum, Hildesheim (31139)",649.000 € 4.395 €/m²,5 Zimmer,"147,7 m²",280 m² Grundstück,https://www.immowelt.de/expose/070013cd-917d-465c-8f20-bd816c666495
"Von-Emmich-Straße 31, Ost, Hildesheim (31135)",449.900 € 3.599 €/m²,3 Zimmer,125 m²,Unknown,https://www.immowelt.de/expose/d7758888-a236-4abf-b9ac-452c2c2546af
"Von-Emmich-Straße 31, Ost, Hildesheim (31135)",287.900 € 3.891 €/m²,2 Zimmer,74 m²,Unknown,https://www.immowelt.de/expose/74cf5b21-1d6d-40ab-9c8c-ef1d94bcc3d5
"Sorsum, Hildesheim (31139)",499.000 € 3.809 €/m²,4 Zimmer,131 m²,223 m² Grundstück,https://www.immowelt.de/expose/58f3b03e-6d19-42ce-9f90-bc8e3148947f
"Neuhof, Hildesheim (31139)",395.000 € 3.180 €/m²,5 Zimmer,114 m²,193 m² Grundstück,https://www.immowelt.de/expose/769dbd7c-6b8f-4cd5-a313-f07f7d655119
"Neuhof, Hildesheim (31139)",395.000 € 3.180 €/m²,5 Zimmer,114 m²,198 m² Grundstück,https://www.immowelt.de/expose/82273ef0-eca3-41d3-93fd-2c87e0f83f66
"Neuhof, Hildesheim (31139)",415.000 € 2.876 €/m²,6 Zimmer,133 m²,215 m² Grundstück,https://www.immowelt.de/expose/806eba09-961d-4649-b14e-cb3e0ff6e922
"Neuhof, Hildesheim (31139)",395.000 € 3.180 €/m²,5 Zimmer,114 m²,200 m² Grundstück,https://www.immowelt.de/expose/cb04d5f1-50cb-4838-8b20-7673eca14d68
"Neuhof, Hildesheim (31139)",395.000 € 3.180 €/m²,5 Zimmer,114 m²,201 m² Grundstück,https://www.immowelt.de/expose/75c58433-6fa5-456d-befe-14b37f4f5ffe
"Neuhof, Hildesheim (31139)",412.500 € 3.333 €/m²,5 Zimmer,114 m²,286 m² Grundstück,https://www.immowelt.de/expose/63d92e94-a0fb-4815-92d1-4af8859ae482
"Albertus-Magnus-Str. 48, Ochtersum, Hildesheim (31139)",260.000 € 1.857 €/m²,5 Zimmer,140 m²,456 m² Grundstück,https://www.immowelt.de/expose/8a97f52b-70d3-44bf-a976-6f6b35585a06
"Immengarten, Ost, Hildesheim (31134)",220.000 € 1.964 €/m²,4 Zimmer,112 m²,frei ab sofort,https://www.immowelt.de/expose/2310b0ea-7f8a-4ad5-b999-239581fc1b73
"Gausstraße, Neustadt, Hildesheim (31134)","1.250 € 7,44 €/m²","5,5 Zimmer",168 m²,frei ab sofort,https://www.immowelt.de/expose/b37a270e-634d-4b3c-b7cf-00a5b26b0f14
"Bettmar, Schellerten (31174)",495.000 € 2.723 €/m²,6 Zimmer,"181,8 m²",520 m² Grundstück,https://www.immowelt.de/expose/b37f2972-6ff6-43c5-b03b-6d39857cc547
"Bettmar, Schellerten (31147)",475.000 € 3.141 €/m²,5 Zimmer,"151,2 m²",Unknown,https://www.immowelt.de/expose/5db427ee-5574-4816-9212-391b9772db81
"Barienrode, Diekholzen (31199)",265.000 € 1.497 €/m²,6 Zimmer,177 m²,641 m² Grundstück,https://www.immowelt.de/expose/f3523990-5edc-4dfc-b60d-17a10c4238f8
"Barienrode, Diekholzen (31199)",565.000 € 1.883 €/m²,9 Zimmer,300 m²,970 m² Grundstück,https://www.immowelt.de/expose/c73b6ac6-5bee-434d-8dc6-296f7a5af480
"Hönnersum, Harsum (31177)",430.000 € 1.475 €/m²,12 Zimmer,"291,5 m²",939 m² Grundstück,https://www.immowelt.de/expose/c87b1ab5-9f33-4fa0-ad13-30ce11487fb4
