city_ID;City_name;population
764;Wernberg-Köblitz;0
765;Oberviechtach;0
766;Schwarzenfeld;0
767;Nabburg;0
768;Steinberg;0
769;Schwarzhofen;0
770;Neukirchen-Balbini;0
771;Rötz;0
772;Wackersdorf;0
773;Bodenwöhr;0
774;Bruck i.d. OPf.;0
775;Sengenthal;0
776;Pilsach;0
777;Hohenfels;0
778;Deining;0
779;Breitenbrunn;0
780;Berngau;0
781;Seubersdorf i.d. OPf.;0
782;Postbauer-Heng;0
783;Berg b.Neumarkt i.d.OPf.;0
784;Dietfurt a.d. Altmühl;0
785;Freystadt;0
786;Beilngries;0
787;Parsberg;0
788;Neumarkt i.d. OPf.;0
789;Schmidmühlen;0
790;Rieden;0
791;Poppenricht;0
792;Lauterhofen;0
793;Königstein;0
794;Illschwang;0
795;Hohenburg;0
796;Hirschbach;0
797;Gebenbach;0
798;Freudenberg;0
799;Freihung;0
800;Fensterbach;0
801;Etzelwang;0
802;Ensdorf;0
803;Edelsfeld;0
804;Ebermannsdorf;0
805;Birgland;0
806;Ammerthal;0
807;Neukirchen b. Sulzbach-Rosen;0
808;Hahnbach;0
809;Schnaittenbach;0
810;Vilseck;0
811;Kümmersbruck;0
812;Hirschau;0
813;Sulzbach-Rosenberg;0
814;Amberg;44737
815;Wellheim;0
816;Solnhofen;0
817;Polsingen;0
818;Mörnsheim;0
819;Meinheim;0
820;Markt Berolzheim;0
821;Langenaltheim;0
822;Höttingen;0
823;Ettenstatt;0
824;Dollnstein;0
825;Alesheim;0
826;Ellingen;0
827;Nennslingen;0
828;Pappenheim;0
829;Pleinfeld;0
830;Weißenburg i. Bay.;0
831;Wittelshofen;0
832;Westheim;0
833;Weidenbach;0
834;Weiltingen;0
835;Unterschwaningen;0
836;Theilenhofen;0
837;Röckingen;0
838;Pfofeld;0
839;Ornbau;0
840;Muhr a. See;0
841;Mitteleschenbach;0
842;Merkendorf;0
843;Langfurth;0
844;Haundorf;0
845;Gnotzheim;0
846;Gerolfingen;0
847;Ehingen;0
848;Dittenheim;0
849;Arberg;0
850;Absberg;0
851;Heidenheim;0
852;Wassertrüdingen;0
853;Gunzenhausen;0
854;Wolframs-Eschenbach;0
855;Wörnitz;0
856;Windelsbach;0
857;Wilburgstetten;0
858;Wieseth;0
859;Wettringen;0
860;Weihenzell;0
861;Steinsfeld;0
862;Schopfloch;0
863;Schnelldorf;0
864;Sachsen b. Ansbach;0
865;Rügland;0
866;Ohrenbach;0
867;Obernzenn;0
868;Oberdachstetten;0
869;Neusitz;0
870;Mönchsroth;0
871;Marktbergel;0
872;Lehrberg;0
873;Insingen;0
874;Geslau;0
875;Gebsattel;0
876;Gallmersgarten;0
877;Flachslanden;0
878;Dürrwangen;0
879;Dombühl;0
