Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Innenstadt, Coburg (96450)",618.389 € 5.673 €/m²,3 Zimmer,109 m²,890 m² Grundstück,https://www.immowelt.de/expose/45e8d0fc-a4d9-415f-ac7a-52b8075d8b1f
"Innenstadt, Coburg (96450)",686.429 € 3.690 €/m²,"6,5 Zimmer",186 m²,890 m² Grundstück,https://www.immowelt.de/expose/243cee13-5255-447a-85e2-2ad31a6c9c6a
"Innenstadt, Coburg (96450)",711.299 € 4.041 €/m²,6 Zimmer,176 m²,890 m² Grundstück,https://www.immowelt.de/expose/9cd980bd-9e74-409f-a999-e68ff862e563
"Innenstadt, Coburg (96450)",646.389 € 3.611 €/m²,6 Zimmer,179 m²,890 m² Grundstück,https://www.immowelt.de/expose/b5e14978-bd43-4050-bd6a-ab129c4e046c
"Innenstadt, Coburg (96450)",613.309 € 4.230 €/m²,"5,5 Zimmer",145 m²,890 m² Grundstück,https://www.immowelt.de/expose/6034bae2-b67a-4d7d-954b-49ca1249d7f1
"Innenstadt, Coburg (96450)",604.169 € 4.509 €/m²,4 Zimmer,134 m²,890 m² Grundstück,https://www.immowelt.de/expose/a9f9216f-8353-4685-9b3a-be0fcc720003
"Innenstadt, Coburg (96450)",605.529 € 4.731 €/m²,4 Zimmer,128 m²,890 m² Grundstück,https://www.immowelt.de/expose/1561416c-8f7f-4803-8b73-cc5ef3337346
"Innenstadt, Coburg (96450)",601.519 € 4.699 €/m²,4 Zimmer,128 m²,890 m² Grundstück,https://www.immowelt.de/expose/73f4400c-6a3e-46b6-9823-0252001b51a5
"Innenstadt, Coburg (96450)",573.349 € 5.791 €/m²,3 Zimmer,99 m²,890 m² Grundstück,https://www.immowelt.de/expose/42365446-3c8e-4db1-9a51-8530fa2e1f23
"Ketschendorf, Coburg (96450)",124.900 € 2.271 €/m²,2 Zimmer,55 m²,12. Geschoss,https://www.immowelt.de/expose/14b29721-32ed-497f-96c6-1e63bed94f84
"Innenstadt, Coburg (96450)",449.990 € 3.913 €/m²,4 Zimmer,115 m²,1. Geschoss,https://www.immowelt.de/expose/0fcfe9b9-c48f-43e4-88b9-44ce167c7f7e
"Bertelsdorf - Glend, Coburg (96450)",399.999 € 1.794 €/m²,5 Zimmer,"222,9 m²",684 m² Grundstück,https://www.immowelt.de/expose/fc74b78c-deb9-4bd4-9243-4b2890037814
"Innenstadt, Coburg (96450)",279.000 € 1.860 €/m²,7 Zimmer,150 m²,950 m² Grundstück,https://www.immowelt.de/expose/11bc0016-02e3-42ac-97c7-5b2acff1bccb
"Creidlitz, Coburg (96450)",269.000 € 1.365 €/m²,7 Zimmer,197 m²,714 m² Grundstück,https://www.immowelt.de/expose/c30a215a-377e-4c1f-b2d6-81f9eedcf010
